postal,blk_no_RD_name
439626,106 BRANKSOME RD
98144,106 COVE DR
786141,106 SPRINGSIDE VIEW
536736,106K AH SOO WALK
536737,106L AH SOO WALK
427165,107 JOO CHIAT WALK
228873,107 KG JAVA RD
637974,107 YUNNAN DR 3
821107,107A EDGEFIELD PLAINS
822107,107B EDGEFIELD PLAINS
823107,107C EDGEFIELD PLAINS
549184,107C HIGHLAND RD
824107,107D EDGEFIELD PLAINS
545059,107J HIGHLAND RD
439813,108 ARTHUR RD
425543,108 LOR L TELOK KURAU
68900,108 ROBINSON RD
786498,108 SPRINGSIDE AVE
307595,108 THOMSON RD
760108,108 YISHUN RING RD
758514,1080 SEMBAWANG RD
650109,109 BT BATOK WEST AVE 6
239548,109 KILLINEY RD
218916,109 OWEN RD
169201,1090 LOWER DELTA RD
169203,1092 LOWER DELTA RD
169204,1093 LOWER DELTA RD
544922,109C HIGHLAND RD
429517,10A CHAPEL RD
459624,10A COLDSTREAM AVE
539062,10A EDEN GROVE
258909,10A GOODWOOD HILL
769888,10A JLN HIKAYAT
468481,10A JLN LIMAU BALI
548393,10A JANSEN RD
548037,10A KOVAN RD
425429,10A LOR L TELOK KURAU
277002,10A MOUNT SINAI LANE
358428,10A MUSWELL HILL
258290,10A ROBIN CL
327953,10A SAINT MICHAEL'S RD
549394,10B FLOWER RD
418707,10B JLN RIMAU
547237,10B PARRY AVE
459183,10C EAST COAST AVE
128539,10C JUBILEE RD
417416,10C LENGKONG TIGA
298731,10C LORNIE RD
546278,10D ROBEY CRES
457139,10E JLN ULU SIGLAP
596921,10E TOH TUCK CRES
548042,10F KOVAN RD
547890,10F LEITH RD
549400,10H FLOWER RD
428721,10P EAST COAST RD
269935,11 ASTRID HILL
189675,11 BEACH RD
439751,11 BOSCOMBE RD
309725,11 BT TUNGGAL RD
299802,11 CAMDEN PK
460011,11 CHAI CHEE RD
486122,11 CHANGI STH ST 3
554781,11 CHUAN LINK
259621,11 CLUNY PK
269216,11 CORONATION WALK
789882,11 COUNTRYSIDE PL
98497,11 COVE DR
549694,11 DIX RD
268893,11 DUKE'S RD
429312,11 DUKU LANE
486124,11 EASTWOOD WAY
549628,11 EE TEOW LENG RD
619702,11 FOURTH CHIN BEE RD
438866,11 HAIG AVE
438815,11 HAIG LANE
457880,11 HARTLEY GROVE
489482,11 HARVEY AVE
757212,11 INGGU RD
