postal,blk_no_RD_name
627615,1 SUNVIEW RD
506999,80 FLORA RD
507000,82 FLORA RD
507001,84 FLORA RD
507002,86 FLORA RD
507004,90 FLORA RD
507005,92 FLORA RD
507006,94 FLORA RD
507007,96 FLORA RD
507008,98 FLORA RD
509744,102 FLORA RD
641675,675A JURONG WEST ST 64
641676,676A JURONG WEST ST 64
641677,677A JURONG WEST ST 64
641678,678A JURONG WEST ST 64
642675,675B JURONG WEST ST 64
642676,676B JURONG WEST ST 64
642677,677B JURONG WEST ST 64
643677,677C JURONG WEST ST 64
643678,678C JURONG WEST ST 64
644678,678D JURONG WEST ST 64
539068,14 EDEN GROVE
276712,2 REDWOOD AVE
276731,21 REDWOOD AVE
276763,2 OAK AVE
276765,4 OAK AVE
277568,1 MAPLE AVE
279707,17 FIR AVE
279708,18 FIR AVE
279779,1 ELM AVE
279781,5 ELM AVE
279782,7 ELM AVE
279838,12 CYPRESS AVE
539102,6 EDEN GROVE
398623,11 LOR 24 GEYLANG
398425,21 LOR 28 GEYLANG
821632,632A PUNGGOL DR
821633,633A PUNGGOL DR
821635,635A PUNGGOL DR
821636,636A PUNGGOL DR
822632,632B PUNGGOL DR
822635,635B PUNGGOL DR
822636,636B PUNGGOL DR
823632,632C PUNGGOL DR
823635,635C PUNGGOL DR
828814,36 PUNGGOL FIELD
408832,82 UBI AVE 4
249409,30 HOOT KIAM RD
249410,30A HOOT KIAM RD
89856,43 BT PASOH RD
179104,25 NTH BRIDGE RD
454959,8K EAST COAST AVE
459261,8A EAST COAST AVE
768094,12 CANBERRA DR
768095,12A CANBERRA DR
768097,16 CANBERRA DR
768098,18 CANBERRA DR
768099,18A CANBERRA DR
768100,18B CANBERRA DR
768138,2 CANBERRA DR
768140,6 CANBERRA DR
768141,8 CANBERRA DR
768142,10 CANBERRA DR
768143,10A CANBERRA DR
338517,2 WHAMPOA EAST
338519,6 WHAMPOA EAST
338520,8 WHAMPOA EAST
338521,10 WHAMPOA EAST
338526,20 WHAMPOA EAST
486035,15A CHANGI BUSINESS PK CTRL 1
729908,11 MANDAI ESTATE
535220,15 TAI SENG DR
275764,11 HOLLAND LINK
519959,1 ELIAS GREEN
519960,3 ELIAS GREEN
519961,5 ELIAS GREEN
519963,9 ELIAS GREEN
519964,11 ELIAS GREEN
519966,15 ELIAS GREEN
510625,625 ELIAS RD
510500,500 PASIR RIS ST 52
510501,501 PASIR RIS ST 52
510502,502 PASIR RIS ST 52
510503,503 PASIR RIS ST 52
510504,504 PASIR RIS ST 52
510505,505 PASIR RIS ST 52
510506,506 PASIR RIS ST 52
510507,507 PASIR RIS ST 52
510508,508 PASIR RIS ST 52
510509,509 PASIR RIS ST 52
510510,510 PASIR RIS ST 52
510511,511 PASIR RIS ST 52
510513,513 PASIR RIS ST 52
510514,514 PASIR RIS ST 52
510515,515 PASIR RIS ST 52
510516,516 PASIR RIS ST 52
510517,517 PASIR RIS ST 52
510518,518 PASIR RIS ST 52
510519,519 PASIR RIS ST 52
510520,520 PASIR RIS ST 52
510521,521 PASIR RIS ST 52
519780,25 ELIAS TER
519782,29 ELIAS TER
519788,35 ELIAS TER
519789,36 ELIAS TER
519792,39 ELIAS TER
519807,69 ELIAS TER
519833,121 ELIAS TER
519840,135 ELIAS TER
510601,601 ELIAS RD
510602,602 ELIAS RD
510603,603 ELIAS RD
510604,604 ELIAS RD
510605,605 ELIAS RD
510606,606 ELIAS RD
457258,61C JLN TUA KONG
458815,52D ELITE TER
458816,52E ELITE TER
458818,52G ELITE TER
229668,57 CAIRNHILL RD
228511,12 MOUNT ELIZABETH
228512,14 MOUNT ELIZABETH
458703,21 ELLIOT RD
458704,23 ELLIOT RD
458707,29 ELLIOT RD
458708,31 ELLIOT RD
458710,35 ELLIOT RD
159309,18 JLN KILANG TIMOR
199591,7500A BEACH RD
229417,140 EMERALD HILL RD
436892,8D TANJONG RHU RD
69415,33 CLUB ST
228258,6 SAUNDERS RD
229369,93 EMERALD HILL RD
229408,125 EMERALD HILL RD
229420,150 EMERALD HILL RD
229422,154 EMERALD HILL RD
229423,156 EMERALD HILL RD
229427,164 EMERALD HILL RD
169588,6 INDUS RD
169586,2 INDUS RD
438622,18 IPOH LANE
228485,3 MOUNT EMILY RD
417819,30 KAKI BT RD 3
307660,316 THOMSON RD
307663,320 THOMSON RD
308482,4 JLN NOVENA UTARA
308561,5 JLN NOVENA SELATAN
308574,19 JLN NOVENA SELATAN
308641,4 JLN NOVENA
169767,17 ENG HOON ST
599429,39 ENG KONG CRES
229308,28 EMERALD HILL RD
596191,202A ENG KONG GARDEN
598983,11 ENG KONG TER
598998,26 ENG KONG TER
599005,32 ENG KONG TER
599007,34 ENG KONG TER
599075,106 ENG KONG RD
599079,114 ENG KONG RD
599139,67 ENG KONG PL
599222,5 ENG KONG GARDEN
599223,6 ENG KONG GARDEN
599227,10 ENG KONG GARDEN
599251,153 ENG KONG GARDEN
599254,156 ENG KONG GARDEN
599278,180 ENG KONG GARDEN
599289,191 ENG KONG GARDEN
599294,196 ENG KONG GARDEN
599307,218 ENG KONG GARDEN
599308,220 ENG KONG GARDEN
599315,234 ENG KONG GARDEN
599402,6 ENG KONG CRES
599411,16 ENG KONG CRES
469591,7D BEDOK RISE
469596,7J BEDOK RISE
627656,16G ENTERPRISE RD
627678,10U ENTERPRISE RD
658080,20 BT BATOK CRES
608586,48 TOH GUAN RD EAST
388568,46 LOR 17 GEYLANG
637431,2 TUAS VIEW PL
415934,1 KAKI BT RD 1
415978,18 KAKI BT RD 3
787494,50 TAGORE LANE
79118,70 SHENTON WAY
169206,1100 LOWER DELTA RD
98133,16 SENTOSA GATEWAY
437872,48 MEYER RD
437874,48 MEYER RD
437875,52 MEYER RD
417657,53 LENGKONG EMPAT
679692,10 CASHEW RD
679693,12 CASHEW RD
679695,16 CASHEW RD
425774,135 LOR K TELOK KURAU
238126,48 SAINT THOMAS WALK
309371,12 DYSON RD
544814,113 COMPASSVALE BOW
544815,115 COMPASSVALE BOW
544816,117 COMPASSVALE BOW
544817,119 COMPASSVALE BOW
544818,121 COMPASSVALE BOW
544819,123 COMPASSVALE BOW
544820,125 COMPASSVALE BOW
544821,127 COMPASSVALE BOW
544998,111 COMPASSVALE BOW
425710,80 LOR K TELOK KURAU
426121,99A LOR H TELOK KURAU
426283,92 LOR G TELOK KURAU
38981,1 ESPLANADE DR
139408,5 NEPAL PK
339338,201 KALLANG BAHRU
399839,500 GUILLEMARD RD
804952,37L NIM RD
804968,35E NIM RD
804981,13B NIM RD
804982,13C NIM RD
804983,13D NIM RD
804985,15F NIM RD
804986,15G NIM RD
804987,15H NIM RD
805006,27L NIM RD
805036,27A NIM RD
805069,37B NIM RD
805071,35B NIM RD
805072,33C NIM RD
805282,27C NIM RD
805284,25G NIM RD
805291,23E NIM RD
807546,17 NIM RD
807587,11 NIM RD
807594,17C NIM RD
509739,23 FLORA RD
509740,25 FLORA RD
509741,27 FLORA RD
509742,29 FLORA RD
438867,12 HAIG AVE
228071,71 WILKIE RD
437361,3 ROSE LANE
266236,55N JLN LIM TAI SEE
266241,55T JLN LIM TAI SEE
266251,57J JLN LIM TAI SEE
266261,59J JLN LIM TAI SEE
498808,1 CHANGI NTH ST 2
439501,51 BRDRICK RD
259776,469G BT TIMAH RD
415826,312 JLN EUNOS
415843,278 JLN EUNOS
415860,244 JLN EUNOS
415867,230 JLN EUNOS
415868,228 JLN EUNOS
415869,226 JLN EUNOS
415870,224 JLN EUNOS
415871,222 JLN EUNOS
415872,220 JLN EUNOS
415873,218 JLN EUNOS
419537,186 JLN EUNOS
419539,190 JLN EUNOS
419540,192 JLN EUNOS
419541,194 JLN EUNOS
419542,196 JLN EUNOS
419543,198 JLN EUNOS
419544,200 JLN EUNOS
419545,202 JLN EUNOS
419546,204 JLN EUNOS
419547,206 JLN EUNOS
419548,208 JLN EUNOS
419549,210 JLN EUNOS
419550,212 JLN EUNOS
419551,214 JLN EUNOS
419552,216 JLN EUNOS
400031,31 EUNOS CRES
400032,32 EUNOS CRES
400033,33 EUNOS CRES
400034,34 EUNOS CRES
400035,35 EUNOS CRES
400036,36 EUNOS CRES
400019,19 EUNOS CRES
400020,20 EUNOS CRES
400021,21 EUNOS CRES
400022,22 EUNOS CRES
400023,23 EUNOS CRES
410650,650 JLN TENAGA
410651,651 JLN TENAGA
410652,652 JLN TENAGA
410653,653 JLN TENAGA
410654,654 JLN TENAGA
410655,655 JLN TENAGA
410656,656 JLN TENAGA
410657,657 JLN TENAGA
410658,658 JLN TENAGA
410659,659 JLN TENAGA
410660,660 JLN TENAGA
410661,661 JLN DAMAI
410662,662 JLN DAMAI
410663,663 JLN DAMAI
410664,664 JLN DAMAI
410665,665 JLN DAMAI
410666,666 JLN DAMAI
410667,667 JLN DAMAI
410668,668 JLN DAMAI
410669,669 JLN DAMAI
410670,670 JLN DAMAI
410672,672 JLN DAMAI
416558,10 SIMS AVE EAST
470611,611 BEDOK RESERVOIR RD
470612,612 BEDOK RESERVOIR RD
470613,613 BEDOK RESERVOIR RD
470614,614 BEDOK RESERVOIR RD
470615,615 BEDOK RESERVOIR RD
470616,616 BEDOK RESERVOIR RD
470618,618 BEDOK RESERVOIR RD
470631,631 BEDOK RESERVOIR RD
470632,632 BEDOK RESERVOIR RD
470619,619 BEDOK RESERVOIR RD
470620,620 BEDOK RESERVOIR RD
470621,621 BEDOK RESERVOIR RD
470622,622 BEDOK RESERVOIR RD
470623,623 BEDOK RESERVOIR RD
470624,624 BEDOK RESERVOIR RD
470625,625 BEDOK RESERVOIR RD
470626,626 BEDOK RESERVOIR RD
470627,627 BEDOK RESERVOIR RD
470628,628 BEDOK RESERVOIR RD
470629,629 BEDOK RESERVOIR RD
409499,1004 EUNOS AVE 8
409582,1079 EUNOS AVE 7
409623,1011 EUNOS AVE 6
409631,1075 EUNOS AVE 6
409703,1033 EUNOS AVE 5A
409746,1046 EUNOS AVE 5
417771,5 KG EUNOS
470601,601 BEDOK RESERVOIR RD
470602,602 BEDOK RESERVOIR RD
470603,603 BEDOK RESERVOIR RD
470604,604 BEDOK RESERVOIR RD
470605,605 BEDOK RESERVOIR RD
470607,607 BEDOK RESERVOIR RD
470608,608 BEDOK RESERVOIR RD
470609,609 BEDOK RESERVOIR RD
470610,610 BEDOK RESERVOIR RD
470122,122 BEDOK RESERVOIR RD
470123,123 BEDOK RESERVOIR RD
470124,124 BEDOK RESERVOIR RD
470125,125 BEDOK RESERVOIR RD
470127,127 BEDOK RESERVOIR RD
470128,128 BEDOK RESERVOIR RD
470130,130 BEDOK RESERVOIR RD
470131,131 BEDOK RESERVOIR RD
470132,132 BEDOK RESERVOIR RD
470133,133 BEDOK RESERVOIR RD
470134,134 BEDOK RESERVOIR RD
470135,135 BEDOK RESERVOIR RD
470136,136 BEDOK RESERVOIR RD
470137,137 BEDOK RESERVOIR RD
470138,138 BEDOK RESERVOIR RD
470139,139 BEDOK RESERVOIR RD
470140,140 BEDOK RESERVOIR RD
470141,141 BEDOK RESERVOIR RD
470142,142 BEDOK RESERVOIR RD
470144,144 BEDOK RESERVOIR RD
470145,145 BEDOK RESERVOIR RD
470146,146 BEDOK RESERVOIR RD
470147,147 BEDOK RESERVOIR RD
470148,148 BEDOK RESERVOIR RD
470149,149 BEDOK RESERVOIR RD
470150,150 BEDOK RESERVOIR RD
415928,13 KAKI BT RD 1
415936,5 KAKI BT RD 1
415937,7 KAKI BT RD 1
415938,9 KAKI BT RD 1
415979,60 KAKI BT PL
416188,10 KAKI BT PL
416201,23 KAKI BT PL
410633,633 BEDOK RESERVOIR RD
410634,634 BEDOK RESERVOIR RD
410635,635 BEDOK RESERVOIR RD
410636,636 BEDOK RESERVOIR RD
410637,637 BEDOK RESERVOIR RD
410638,638 BEDOK RESERVOIR RD
410639,639 BEDOK RESERVOIR RD
410640,640 BEDOK RESERVOIR RD
410641,641 BEDOK RESERVOIR RD
410642,642 BEDOK RESERVOIR RD
410643,643 BEDOK RESERVOIR RD
410644,644 BEDOK RESERVOIR RD
470101,101 BEDOK RESERVOIR RD
470103,103 BEDOK RESERVOIR RD
470104,104 BEDOK RESERVOIR RD
470105,105 BEDOK RESERVOIR RD
470106,106 BEDOK RESERVOIR RD
470107,107 BEDOK RESERVOIR RD
470108,108 BEDOK RESERVOIR RD
470109,109 BEDOK RESERVOIR RD
470110,110 BEDOK RESERVOIR RD
470111,111 BEDOK RESERVOIR RD
470112,112 BEDOK RESERVOIR RD
470113,113 BEDOK RESERVOIR RD
470114,114 BEDOK RESERVOIR RD
470115,115 BEDOK RESERVOIR RD
470116,116 BEDOK RESERVOIR RD
470117,117 BEDOK RESERVOIR RD
470118,118 BEDOK RESERVOIR RD
470119,119 BEDOK RESERVOIR RD
470120,120 BEDOK RESERVOIR RD
470121,121 BEDOK RESERVOIR RD
417835,1 KAKI BT RD 2
759075,1 JLN MATA AYER
759150,3 JLN MATA AYER
759151,5 JLN MATA AYER
759152,7 JLN MATA AYER
759153,9 JLN MATA AYER
759154,11 JLN MATA AYER
759155,13 JLN MATA AYER
429744,139 CEYLON RD
328170,1037 SERANGOON RD
238430,5 RIVER VALLEY CL
238431,7 RIVER VALLEY CL
427253,96 JOO CHIAT TER
357920,25 WOODLEIGH CL
729648,12 SUNGEI KADUT AVE
534979,389 UPP PAYA LEBAR RD
534981,391 UPP PAYA LEBAR RD
309309,20 EVELYN RD
539218,85 DEFU LANE 10
466426,281 UPP EAST COAST RD
468881,5 EVERGREEN GDNS
468891,16 EVERGREEN GDNS
468894,22 EVERGREEN GDNS
468921,5 EVERGREEN AVE
538800,31 HOUGANG AVE 7
538802,35 HOUGANG AVE 7
538803,37 HOUGANG AVE 7
738908,31 WOODLANDS CIRCLE
398150,15 LOR 36 GEYLANG
349566,81 GENTING LANE
427800,83 JOO CHIAT PL
428522,9 EVERITT RD NTH
189682,45 BEACH RD
89373,17 EVERTON RD
80003,3 EVERTON PK
80004,4 EVERTON PK
80005,5 EVERTON PK
80006,6 EVERTON PK
81001,1 EVERTON PK
81002,2 EVERTON PK
279727,1 EWART PK
279734,3A EWART PK
259332,31 EWE BOON RD
408571,71 UBI CRES
388159,7 LOR 27 GEYLANG
467380,10 MINARET WALK
467385,15 MINARET WALK
467389,19 MINARET WALK
467392,22 MINARET WALK
467414,44 MINARET WALK
129195,50A FABER HTS
129196,50B FABER HTS
129198,50D FABER HTS
129199,50E FABER HTS
129200,50F FABER HTS
129201,50G FABER HTS
129202,50H FABER HTS
129203,50J FABER HTS
129205,50L FABER HTS
129206,50M FABER HTS
576839,5 JLN SERULING
576842,8 JLN SERULING
576990,15 JLN REBANA
576993,21 JLN REBANA
576994,23 JLN REBANA
577001,31 JLN REBANA
578178,21 JLN GENDANG
578707,3 JLN ANGKLONG
578710,6 JLN ANGKLONG
579978,2 ANGKLONG LANE
579979,4 ANGKLONG LANE
579980,6 ANGKLONG LANE
579981,8 ANGKLONG LANE
579982,10 ANGKLONG LANE
128944,1 FABER WALK
128945,2 FABER WALK
128960,19 FABER WALK
128961,21 FABER WALK
128974,47 FABER WALK
129003,7 FABER TER
129005,9 FABER TER
129009,14 FABER TER
129011,16 FABER TER
129022,27 FABER TER
129042,64 FABER TER
129070,120 FABER TER
129092,1 FABER PK
129097,6 FABER PK
129098,7 FABER PK
129106,16 FABER PK
129108,18 FABER PK
129110,20 FABER PK
129116,31 FABER PK
129129,57 FABER PK
129167,21 FABER HTS
129171,29 FABER HTS
129193,72 FABER HTS
129229,15 FABER GROVE
129235,24 FABER GROVE
129278,31 FABER GREEN
129285,45 FABER GREEN
129292,59 FABER GREEN
129339,8 FABER DR
129340,9 FABER DR
129346,16 FABER DR
129360,30 FABER DR
129362,32 FABER DR
129368,38 FABER DR
129387,63 FABER DR
129406,100 FABER DR
129422,110B FABER DR
129468,21 FABER CRES
129470,23 FABER CRES
129479,32 FABER CRES
129495,49A FABER CRES
129519,5 FABER AVE
129520,6 FABER AVE
129521,7 FABER AVE
129523,9 FABER AVE
129543,32 FABER AVE
129547,40 FABER AVE
238854,230 ORCHARD RD
99203,109 MOUNT FABER RD
139648,100 DOVER RD
278551,108 HOLLAND RD
189560,80 BRAS BASAH RD
486365,30 EASTWOOD RD
629117,1 JOO KOON CIRCLE
671443,443A FAJAR RD
672442,442B FAJAR RD
672443,443B FAJAR RD
673442,442C FAJAR RD
673443,443C FAJAR RD
674442,442D FAJAR RD
674443,443D FAJAR RD
670454,454 FAJAR RD
457238,39 JLN TUA KONG
458872,48M ELITE PK AVE
809848,6 BEGONIA DR
809852,7A BEGONIA DR
809853,7B BEGONIA DR
809856,8B BEGONIA DR
809860,9 BEGONIA DR
48545,14 ROBINSON RD
228213,14 SCOTTS RD
238882,545 ORCHARD RD
48467,82 TELOK AYER ST
48762,32 PEKIN ST
49561,19 CHINA ST
49568,26 CHINA ST
49962,133 AMOY ST
69544,156 CECIL ST
569758,1 ANG MO KIO AVE 9
569760,5 ANG MO KIO AVE 9
569761,7 ANG MO KIO AVE 9
569763,11 ANG MO KIO AVE 9
569765,15 ANG MO KIO AVE 9
260001,1 QUEEN'S RD
260002,2 QUEEN'S RD
260003,3 QUEEN'S RD
260004,4 QUEEN'S RD
260008,8 EMPRESS RD
210009,9 GLOUCESTER RD
210010,10 GLOUCESTER RD
210049,49 DORSET RD
210050,50 DORSET RD
217567,2 FARRER PK RD
218896,80 OWEN RD
210011,11 FARRER PK RD
210012,12 FARRER PK RD
210013,13 FARRER PK RD
210015,15 FARRER PK RD
217564,10 FARRER PK STATION RD
259775,469F BT TIMAH RD
536360,2B LOR ONG LYE
536379,17 LOR ONG LYE
536390,26 LOR ONG LYE
536399,28C LOR ONG LYE
536409,41 LOR ONG LYE
536436,57B LOR ONG LYE
536440,57F LOR ONG LYE
460107,107 BEDOK NTH RD
460108,108 BEDOK NTH RD
460109,109 BEDOK NTH RD
460110,110 BEDOK NTH RD
461186,186A BEDOK NTH ST 4
461187,187A BEDOK NTH ST 4
461188,188A BEDOK NTH ST 4
462186,186B BEDOK NTH ST 4
462187,187B BEDOK NTH ST 4
462188,188B BEDOK NTH ST 4
761673,673A YISHUN AVE 4
761674,674A YISHUN AVE 4
761675,675A YISHUN AVE 4
762673,673B YISHUN AVE 4
762674,674B YISHUN AVE 4
762675,675B YISHUN AVE 4
763673,673C YISHUN AVE 4
763675,675C YISHUN AVE 4
764675,675D YISHUN AVE 4
791403,403A FERNVALE LANE
792403,403B FERNVALE LANE
792404,404B FERNVALE LANE
792405,405B FERNVALE LANE
793403,403C FERNVALE LANE
793405,405C FERNVALE LANE
794403,403D FERNVALE LANE
791406,406A FERNVALE RD
791407,407A FERNVALE RD
792406,406B FERNVALE RD
792407,407B FERNVALE RD
793406,406C FERNVALE RD
259117,60 FERNHILL RD
791438,438A SENGKANG WEST AVE
791439,439A SENGKANG WEST AVE
792438,438B SENGKANG WEST AVE
792439,439B SENGKANG WEST AVE
793439,439C SENGKANG WEST AVE
791448,448A SENGKANG WEST WAY
791450,450A SENGKANG WEST WAY
792448,448B SENGKANG WEST WAY
792450,450B SENGKANG WEST WAY
793450,450C SENGKANG WEST WAY
791453,453A FERNVALE RD
792453,453B FERNVALE RD
793453,453C FERNVALE RD
794453,453D FERNVALE RD
791451,451A SENGKANG WEST WAY
791452,452A SENGKANG WEST WAY
792451,451B SENGKANG WEST WAY
792452,452B SENGKANG WEST WAY
791440,440A FERNVALE LINK
792440,440B FERNVALE LINK
793440,440C FERNVALE LINK
792462,462B SENGKANG WEST WAY
791436,436A FERNVALE RD
792436,436B FERNVALE RD
793436,436C FERNVALE RD
794436,436D FERNVALE RD
791467,467A FERNVALE LINK
791468,468A FERNVALE LINK
791469,469A SENGKANG WEST WAY
792467,467B FERNVALE LINK
792468,468B FERNVALE LINK
792469,469B SENGKANG WEST WAY
793468,468C FERNVALE LINK
793469,469C SENGKANG WEST WAY
791446,446A JLN KAYU
791447,447A JLN KAYU
792446,446B JLN KAYU
792447,447B JLN KAYU
793446,446C JLN KAYU
790433,433 SENGKANG WEST WAY
791432,432A SENGKANG WEST WAY
791433,433A SENGKANG WEST WAY
792432,432B SENGKANG WEST WAY
792433,433B SENGKANG WEST WAY
797701,1 FERNVALE LANE
791434,434A FERNVALE RD
791435,435A FERNVALE RD
792434,434B FERNVALE RD
792435,435B FERNVALE RD
793435,435C FERNVALE RD
791430,430A FERNVALE LINK
792430,430B FERNVALE LINK
793430,430C FERNVALE LINK
794430,430D FERNVALE LINK
791414,414A FERNVALE LINK
791415,415A FERNVALE LINK
791416,416A FERNVALE LINK
792414,414B FERNVALE LINK
792415,415B FERNVALE LINK
792416,416B FERNVALE LINK
793415,415C FERNVALE LINK
793416,416C FERNVALE LINK
790472,472 FERNVALE ST
791470,470A FERNVALE LINK
791471,471A FERNVALE ST
791472,472A FERNVALE ST
791473,473A FERNVALE ST
792470,470B FERNVALE LINK
792471,471B FERNVALE ST
792472,472B FERNVALE ST
793470,470C FERNVALE LINK
793471,471C FERNVALE ST
793472,471C FERNVALE ST
791417,417A FERNVALE LINK
791418,418A FERNVALE LINK
792418,418B FERNVALE LINK
793418,418C FERNVALE LINK
791441,441A FERNVALE RD
791443,443A FERNVALE RD
791445,445A FERNVALE RD
792441,441B FERNVALE RD
792443,443B FERNVALE RD
792445,445B FERNVALE RD
793441,441C FERNVALE RD
793443,443C FERNVALE RD
794441,441D FERNVALE RD
458540,7 FERNWOOD TER
458546,13 FERNWOOD TER
459231,26 EAST COAST AVE
458553,22 FERNWOOD TER
458554,24 FERNWOOD TER
458555,26 FERNWOOD TER
458556,28 FERNWOOD TER
506941,8 FLORA DR
506943,12 FLORA DR
506944,14 FLORA DR
506945,16 FLORA DR
506946,18 FLORA DR
506947,20 FLORA DR
506948,22 FLORA DR
506950,26 FLORA DR
506951,28 FLORA DR
259715,327 BT TIMAH RD
367987,15 PLAYFAIR RD
454947,129 FIDELIO ST
258196,15 ROBIN RD
268800,2 FIFTH AVE
257848,52 STEVENS RD
454987,12 FIGARO GDNS
454989,14 FIGARO GDNS
458382,2A FIGARO ST
554500,9A SERANGOON NTH AVE 5
458949,54 EAST COAST TER
549576,42 FLORENCE RD
555856,50 SERANGOON NTH AVE 4
417868,10 KAKI BT RD 2
307440,5M CHANCERY LANE
575728,1 SIN MING AVE
454852,478 SIGLAP RD
454855,480 SIGLAP RD
454943,470 SIGLAP RD
454944,472 SIGLAP RD
454946,476 SIGLAP RD
455939,460 SIGLAP RD
455943,468 SIGLAP RD
828739,1 PUNGGOL FIELD WALK
828740,3 PUNGGOL FIELD WALK
828741,5 PUNGGOL FIELD WALK
828742,7 PUNGGOL FIELD WALK
828743,9 PUNGGOL FIELD WALK
828744,11 PUNGGOL FIELD WALK
828745,13 PUNGGOL FIELD WALK
127318,29 WEST COAST RD
127319,29A WEST COAST RD
761426,426A YISHUN AVE 11
761428,428A YISHUN AVE 11
762426,426B YISHUN AVE 11
762428,428B YISHUN AVE 11
763426,426C YISHUN AVE 11
764426,426D YISHUN AVE 11
567705,1 ANG MO KIO ST 66
549590,2A FLORENCE CL
549594,4A FLORENCE CL
549471,10 FLORENCE RD
549481,20 FLORENCE RD
549558,69A FLORENCE RD
806226,111 SUNRISE WAY
806234,127 SUNRISE WAY
806482,21 SUNRISE LANE
806483,22 SUNRISE LANE
806488,29 SUNRISE LANE
806573,70 SUNRISE DR
806582,81 SUNRISE DR
806676,14 SUNRISE AVE
806685,28 SUNRISE AVE
589626,977 BT TIMAH RD
589647,971 BT TIMAH RD
589648,973 BT TIMAH RD
589649,975 BT TIMAH RD
589662,965 BT TIMAH RD
589663,967 BT TIMAH RD
589664,969 BT TIMAH RD
789086,29 LENTOR LOOP
789093,41 LENTOR LOOP
789601,18 FLORISSA PK
789602,19 FLORISSA PK
789636,53 FLORISSA PK
789637,54 FLORISSA PK
789648,65 FLORISSA PK
789658,75 FLORISSA PK
117755,18 YEW SIANG RD
117756,20 YEW SIANG RD
539223,103 DEFU LANE 10
408555,1 UBI VIEW
539634,17B CHARLTON LANE
729495,45 SUNGEI KADUT LOOP
546777,69 POH HUAT RD
546779,73 POH HUAT RD
546785,77 POH HUAT RD
276957,39 MOUNT SINAI RISE
188954,45 MIDDLE RD
577197,45 JLN PEMIMPIN
757437,8A ADMIRALTY ST
758297,1 SENOKO AVE
58727,150 STH BRIDGE RD
398269,6 LOR 32 GEYLANG
268706,26 FORD AVE
678272,101 PETIR RD
678273,103 PETIR RD
678274,105 PETIR RD
678275,107 PETIR RD
678276,109 PETIR RD
678277,111 PETIR RD
778904,27 TRANSIT RD
778905,29 TRANSIT RD
737763,48 WOODLANDS DR 16
737768,28 WOODLANDS DR 16
737769,30 WOODLANDS DR 16
737770,32 WOODLANDS DR 16
737771,34 WOODLANDS DR 16
737772,36 WOODLANDS DR 16
737773,38 WOODLANDS DR 16
737774,40 WOODLANDS DR 16
737775,42 WOODLANDS DR 16
737777,46 WOODLANDS DR 16
737879,20 WOODLANDS DR 16
737880,22 WOODLANDS DR 16
737881,24 WOODLANDS DR 16
737882,26 WOODLANDS DR 16
140048,48 STRATHMORE AVE
140049,49 STRATHMORE AVE
140050,50 STRATHMORE AVE
140051,51 STRATHMORE AVE
439089,21 FORT RD
219062,88 MERGUI RD
549752,22 DA SILVA LANE
549764,34 DA SILVA LANE
549768,39 DA SILVA LANE
549774,45 DA SILVA LANE
549778,49 DA SILVA LANE
549786,60 DA SILVA LANE
549794,71 DA SILVA LANE
548424,23B JANSEN RD
548978,44 HILLSIDE DR
549036,44T HILLSIDE DR
218842,2 OWEN RD
466673,143 TANAH MERAH KECHIL RD STH
188979,190 MIDDLE RD
439193,501 DUNMAN RD
535131,109 TAMPINES RD
456442,7 PALM RD
358208,37 SOMMERVILLE WALK
439088,19 FORT RD
238884,583 ORCHARD RD
389659,757 GEYLANG RD
169629,382 HAVELOCK RD
248646,190 ORCHARD BOULEVARD
249692,8 CUSCADEN WALK
249693,10 CUSCADEN WALK
249694,12 CUSCADEN WALK
249695,14 CUSCADEN WALK
339172,44 KALLANG PL
268675,12 FOURTH AVE
117752,12 YEW SIANG RD
119962,456 ALEXANDRA RD
399174,20 LOR 6 GEYLANG
329816,435 BALESTIER RD
398730,10 LOR 20 GEYLANG
399037,3 LOR 10 GEYLANG
188329,183 SELEGIE RD
534959,357 UPP PAYA LEBAR RD
534960,357A UPP PAYA LEBAR RD
730517,517 WOODLANDS DR 14
730518,518 WOODLANDS DR 14
730519,519 WOODLANDS DR 14
730520,520 WOODLANDS DR 14
730521,521 WOODLANDS DR 14
730522,522 WOODLANDS DR 14
730523,523 WOODLANDS DR 14
730524,524 WOODLANDS DR 14
730525,525 WOODLANDS DR 14
730526,526 WOODLANDS DR 14
389977,2 ALJUNIED AVE 1
419907,504 CHANGI RD
419910,508 CHANGI RD
419915,514 CHANGI RD
454832,121A SIGLAP RD
454854,105A SIGLAP RD
454856,75A SIGLAP RD
454937,45A DUNBAR WALK
454938,35A DUNBAR WALK
454942,71A SIGLAP RD
455036,35 YARROW GDNS
455182,15 WILTON GDNS
455780,2 SIGLAP VIEW
455782,4 SIGLAP VIEW
455812,4 SIGLAP VALLEY
455816,8 SIGLAP VALLEY
455828,5 SIGLAP TER
455874,65 SIGLAP RD
455877,71 SIGLAP RD
455880,75 SIGLAP RD
455883,81 SIGLAP RD
455965,6 SIGLAP RISE
455969,14 SIGLAP RISE
456003,14 SIGLAP PLAIN
456016,27 SIGLAP PLAIN
456029,40 SIGLAP PLAIN
456033,45 SIGLAP PLAIN
456034,47 SIGLAP PLAIN
456047,69 SIGLAP PLAIN
456063,7 SIGLAP HILL
456070,15 SIGLAP HILL
456080,25 SIGLAP HILL
456083,28 SIGLAP HILL
456086,32 SIGLAP HILL
456091,38 SIGLAP HILL
